Order Number,PFMON_AL,PFMON_AS,PEMON_BE,PFMON_CD,PFMON_CA,Date,PFMON_ZN,PFMON_CO,PFMON_CU,PFMON_CR,PFMON_SN,PFMON_FE,PFMON_LI,PFMON_MG,PFMON_MN,PFMON_HG,PFMON_MO,PFMON_NI,PFMON_PB,PFMON_K,PFMON_SE,PFMON_NA,PFMON_V,end
QHV-05219,4.4236,4.4236,4.4236,4.4236,4.4236,2022/12/28 19:46:06,4.4236,4.4236,4.4236,4.4236,4.4236,4.4236,4.4236,4.4236,4.4236,4.4236,4.4236,4.4236,4.4236,4.4236,4.4236,4.4236,4.4236,
QHV-05220,4.4493,4.4493,4.4493,4.4493,4.4493,2022/12/28 19:46:16,4.4493,4.4493,4.4493,4.4493,4.4493,4.4493,4.4493,4.4493,4.4493,4.4493,4.4493,4.4493,4.4493,4.4493,4.4493,4.4493,4.4493,
QHV-05245,4.6723,4.6723,4.6723,4.6723,4.6723,2022/12/28 19:46:33,4.6723,4.6723,4.6723,4.6723,4.6723,4.6723,4.6723,4.6723,4.6723,4.6723,4.6723,4.6723,4.6723,4.6723,4.6723,4.6723,4.6723,
QHV-05246,4.6570,4.6570,4.6570,4.6570,4.6570,2022/12/28 19:46:55,4.6570,4.6570,4.6570,4.6570,4.6570,4.6570,4.6570,4.6570,4.6570,4.6570,4.6570,4.6570,4.6570,4.6570,4.6570,4.6570,4.6570,
QHV-05206,4.3136,4.3136,4.3136,4.3136,4.3136,2022/12/28 19:47:20,4.3136,4.3136,4.3136,4.3136,4.3136,4.3136,4.3136,4.3136,4.3136,4.3136,4.3136,4.3136,4.3136,4.3136,4.3136,4.3136,4.3136,
QHV-05207,4.2960,4.2960,4.2960,4.2960,4.2960,2022/12/28 19:47:58,4.2960,4.2960,4.2960,4.2960,4.2960,4.2960,4.2960,4.2960,4.2960,4.2960,4.2960,4.2960,4.2960,4.2960,4.2960,4.2960,4.2960,
QHV-05193,4.3396,4.3396,4.3396,4.3396,4.3396,2022/12/28 19:48:56,4.3396,4.3396,4.3396,4.3396,4.3396,4.3396,4.3396,4.3396,4.3396,4.3396,4.3396,4.3396,4.3396,4.3396,4.3396,4.3396,4.3396,
QHV-05194,4.3414,4.3414,4.3414,4.3414,4.3414,2022/12/28 19:49:48,4.3414,4.3414,4.3414,4.3414,4.3414,4.3414,4.3414,4.3414,4.3414,4.3414,4.3414,4.3414,4.3414,4.3414,4.3414,4.3414,4.3414,
QHV-05232,4.3581,4.3581,4.3581,4.3581,4.3581,2022/12/28 19:51:19,4.3581,4.3581,4.3581,4.3581,4.3581,4.3581,4.3581,4.3581,4.3581,4.3581,4.3581,4.3581,4.3581,4.3581,4.3581,4.3581,4.3581,
QHV-05233,4.3701,4.3701,4.3701,4.3701,4.3701,2022/12/28 19:51:41,4.3701,4.3701,4.3701,4.3701,4.3701,4.3701,4.3701,4.3701,4.3701,4.3701,4.3701,4.3701,4.3701,4.3701,4.3701,4.3701,4.3701,
QHV-05258,4.7126,4.7126,4.7126,4.7126,4.7126,2022/12/28 19:53:35,4.7126,4.7126,4.7126,4.7126,4.7126,4.7126,4.7126,4.7126,4.7126,4.7126,4.7126,4.7126,4.7126,4.7126,4.7126,4.7126,4.7126,
QHV-05259,4.8825,4.8825,4.8825,4.8825,4.8825,2022/12/28 19:54:02,4.8825,4.8825,4.8825,4.8825,4.8825,4.8825,4.8825,4.8825,4.8825,4.8825,4.8825,4.8825,4.8825,4.8825,4.8825,4.8825,4.8825,
QC,5.0000,5.0000,5.0000,5.0000,5.0000,2022/12/28 19:54:17,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,5.0000,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
