Order Number,Sample ID,P_F1,P_F2,HR,T,Date,GRAV_PM10_BLK,Remarks,end
9855903,,4.4422,4.4416,39.1,20.4,2022/11/02 16:56:35,4.4419,,
9855904,,4.4514,4.4507,39.1,20.4,2022/11/02 17:01:03,4.4511,,
9855905,,4.4383,4.4377,39.1,20.4,2022/11/02 17:02:54,4.4380,,
9849789,,4.4951,4.4953,35.0,20.7,2022/11/02 16:19:54,4.4952,,
9849790,,4.5366,4.5363,35.0,20.7,2022/11/02 16:21:33,4.5365,,
9849791,,4.5488,4.5490,35.0,20.7,2022/11/02 16:22:55,4.5489,,
QC,,5.0000,5.0000,43.9,19.4,2022/10/18 13:36:14,5.0000,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
