Order Number,PE_F1,Date_1,HR,T,PE_F2,Date,HR,T,GRAV_PM10_MON,GRAV_PM10_DP,end
9855969,4.4538,2022/12/22 15:37:05,32.1,21,4.4541,2022/12/22 17:13:38,29.7,21.1,4.454,0.017,
9855970,4.4504,2022/12/22 15:41:05,32.1,21,4.4503,2022/12/22 17:14:09,29.7,21.1,4.450,0.013,
9855971,4.4644,2022/12/22 15:41:45,32.1,21,4.4642,2022/12/22 17:14:40,29.7,21.1,4.464,0.020,
9861263,4.5748,2022/12/22 15:42:40,32.1,21,4.5742,2022/12/22 17:15:11,29.7,21.1,4.575,0.019,
QHV-05385,4.3597,2022/12/22 15:43:21,32.1,21,4.3597,2022/12/22 17:16:02,29.7,21.1,4.360,0.036,
QHV-05386,4.3345,2022/12/22 15:44:29,32.1,21,4.3341,2022/12/22 17:16:49,29.7,21.1,4.334,0.028,
QHV-05387,4.3363,2022/12/22 15:45:14,32.1,21,4.3363,2022/12/22 17:17:23,29.7,21.1,4.336,0.035,
QHV-05067,4.3319,2022/12/22 15:46:12,32.1,21,4.3322,2022/12/22 17:17:52,29.7,21.1,4.332,0.038,
QHV-05243,4.6512,2022/12/22 15:46:45,32.1,21,4.6515,2022/12/22 17:18:15,29.7,21.1,4.651,0.056,
QHV-05244,4.6411,2022/12/22 15:47:46,32.1,21,4.6409,2022/12/22 17:18:45,29.7,21.1,4.641,0.044,
QHV-05230,4.4026,2022/12/22 15:48:29,32.1,21,4.4023,2022/12/22 17:19:19,29.7,21.1,4.402,0.081,
QHV-05231,4.3673,2022/12/22 15:49:08,32.1,21,4.3681,2022/12/22 17:20:07,29.7,21.1,4.368,0.053,
QHV-05204,4.3530,2022/12/22 15:49:52,32.1,21,4.3523,2022/12/22 17:21:15,29.7,21.1,4.353,0.058,
QHV-05205,4.2867,2022/12/22 15:55:19,32.1,21,4.2869,2022/12/22 17:22:59,29.7,21.1,4.287,0.044,
QHV-05191,4.3320,2022/12/22 15:55:50,32.1,21,4.3317,2022/12/22 17:23:32,29.7,21.1,4.332,0.049,
QHV-05192,4.3327,2022/12/22 15:56:28,32.1,21,4.3337,2022/12/22 17:24:23,29.7,21.1,4.333,0.034,
QHV-05217,4.4605,2022/12/22 15:57:18,32.1,21,4.4604,2022/12/22 17:24:57,29.7,21.1,4.460,0.133,
QHV-05218,4.4118,2022/12/22 15:57:55,32.1,21,4.4121,2022/12/22 17:26:26,29.7,21.1,4.412,0.087,
QHV-05256,4.7855,2022/12/22 15:58:33,32.1,21,4.7853,2022/12/22 17:27:07,29.7,21.1,4.785,0.170,
QHV-05257,4.7116,2022/12/22 15:59:12,32.1,21,4.7121,2022/12/22 17:27:39,29.7,21.1,4.712,0.098,
QC,5.0000,2022/12/22 15:59:43,32.8,21.6,5.0000,2022/12/22 17:28:13,30.4,21.3,5.000,5.000,
